Algoritmo;Radix_Sort
Tamaño;5000
Orden;desc
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03063s
Tiempo promedio;0.00103063s
Tiempos individuales (s):
Ejecución 907;0.0013688
Ejecución 908;0.0010129
Ejecución 909;0.0010003
Ejecución 910;0.0010131
Ejecución 911;0.0003007
Ejecución 912;0.001011
Ejecución 913;0.0009979
Ejecución 914;0.0009992
Ejecución 915;0.0009988
Ejecución 916;0.0010309
Ejecución 917;0.0003326
Ejecución 918;0.0010199
Ejecución 919;0.0010042
Ejecución 920;0.0007306
Ejecución 921;0.0009983
Ejecución 922;0.0009996
Ejecución 923;0.0009997
Ejecución 924;0.0005239
Ejecución 925;0.000999
Ejecución 926;0.0010057
Ejecución 927;0.000341
Ejecución 928;0.0003082
Ejecución 929;0.0010007
Ejecución 930;0.0004417
Ejecución 931;0.0042101
Ejecución 932;0.0009994
Ejecución 933;0.0009998
Ejecución 934;0.004448
Ejecución 935;0.0010146
Ejecución 936;0.0004381
Ejecución 937;0.0012186
Ejecución 938;0.0013094
Ejecución 939;0.0012627
Ejecución 940;0.0006226
Ejecución 941;0.0009994
Ejecución 942;0.0011793
Ejecución 943;0.0016152
Ejecución 944;0.0009989
Ejecución 945;0.0009433
Ejecución 946;0.0009987
Ejecución 947;0.0003751
Ejecución 948;0.0005563
Ejecución 949;0.0010068
Ejecución 950;0.0009965
Ejecución 951;0.0010756
Ejecución 952;0.0011783
Ejecución 953;0.0009941
Ejecución 954;0.0009997
Ejecución 955;0.0009993
Ejecución 956;0.0012712
Ejecución 957;0.0009979
Ejecución 958;0.0009999
Ejecución 959;0.0003055
Ejecución 960;0.0010001
Ejecución 961;0.0009461
Ejecución 962;0.0009919
Ejecución 963;0.0010074
Ejecución 964;0.0009995
Ejecución 965;0.0010025
Ejecución 966;0.000998
Ejecución 967;0.0010002
Ejecución 968;0.0005724
Ejecución 969;0.0009996
Ejecución 970;0.0011562
