Algoritmo;Radix_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.03795s
Tiempo promedio;0.00103795s
Tiempos individuales (s):
Ejecución 550;0.000662
Ejecución 551;0.0003421
Ejecución 552;0.0009992
Ejecución 553;0.0009954
Ejecución 554;0.0010838
Ejecución 555;0.0010013
Ejecución 556;0.0010001
Ejecución 557;0.0011533
Ejecución 558;0.0008256
Ejecución 559;0.0012465
Ejecución 560;0.0005158
Ejecución 561;0.0014443
Ejecución 562;0.0010065
Ejecución 563;0.0010069
Ejecución 564;0.0010052
Ejecución 565;0.0009992
Ejecución 566;0.001006
Ejecución 567;0.0010071
Ejecución 568;0.0010944
Ejecución 569;0.0009998
Ejecución 570;0.0010036
Ejecución 571;0.0010003
Ejecución 572;0.0009993
Ejecución 573;0.0009969
Ejecución 574;0.0009935
Ejecución 575;0.0035692
Ejecución 576;0.0011131
Ejecución 577;0.0010067
Ejecución 578;0.0010065
Ejecución 579;0.0011193
Ejecución 580;0.0009985
Ejecución 581;0.0010004
Ejecución 582;0.0010067
Ejecución 583;0.0010073
Ejecución 584;0.0003691
Ejecución 585;0.0010051
Ejecución 586;0.001
Ejecución 587;0.0010057
Ejecución 588;0.0020623
Ejecución 589;0.0003021
Ejecución 590;0.0008803
Ejecución 591;0.0007008
Ejecución 592;0.0013036
Ejecución 593;0.0003914
Ejecución 594;0.001027
Ejecución 595;0.0009947
Ejecución 596;0.0009935
Ejecución 597;0.0010055
Ejecución 598;0.001
Ejecución 599;0.0003573
Ejecución 600;0.0003416
Ejecución 601;0.0009996
Ejecución 602;0.0009967
Ejecución 603;0.0004277
Ejecución 604;0.0010103
Ejecución 605;0.001006
Ejecución 606;0.0017245
Ejecución 607;0.0010103
Ejecución 608;0.0010078
Ejecución 609;0.0006222
Ejecución 610;0.0011206
Ejecución 611;0.0010017
Ejecución 612;0.0010006
Ejecución 613;0.0010464
Ejecución 614;0.0009997
Ejecución 615;0.0004028
Ejecución 616;0.0009969
Ejecución 617;0.0010766
Ejecución 618;0.0010003
Ejecución 619;0.0014022
Ejecución 620;0.0009999
Ejecución 621;0.0007082
Ejecución 622;0.0009954
Ejecución 623;0.0004667
Ejecución 624;0.0010138
Ejecución 625;0.0103748
Ejecución 626;0.0009971
Ejecución 627;0.0006679
Ejecución 628;0.0005059
Ejecución 629;0.000992
Ejecución 630;0.0010061
Ejecución 631;0.0003057
Ejecución 632;0.0011919
Ejecución 633;0.0010162
Ejecución 634;0.0003499
Ejecución 635;0.0010493
Ejecución 636;0.0010005
Ejecución 637;0.0009046
Ejecución 638;0.0010004
Ejecución 639;0.0010094
Ejecución 640;0.0009995
Ejecución 641;0.0007786
Ejecución 642;0.0009952
Ejecución 643;0.0009984
Ejecución 644;0.0009998
Ejecución 645;0.0011644
Ejecución 646;0.0004095
Ejecución 647;0.0009996
Ejecución 648;0.0008009
Ejecución 649;0.0010003
Ejecución 650;0.0009943
Ejecución 651;0.0003089
Ejecución 652;0.001006
Ejecución 653;0.0004469
Ejecución 654;0.0022309
Ejecución 655;0.0009985
Ejecución 656;0.0011244
Ejecución 657;0.0010069
Ejecución 658;0.0011268
Ejecución 659;0.0007771
Ejecución 660;0.0009995
Ejecución 661;0.0010204
Ejecución 662;0.0009797
Ejecución 663;0.0009995
Ejecución 664;0.0005418
Ejecución 665;0.0009996
Ejecución 666;0.0013619
Ejecución 667;0.0010037
Ejecución 668;0.0012756
Ejecución 669;0.0010053
Ejecución 670;0.0003989
Ejecución 671;0.000509
Ejecución 672;0.0007351
Ejecución 673;0.0010096
Ejecución 674;0.0003958
Ejecución 675;0.0010058
Ejecución 676;0.0006462
Ejecución 677;0.0010015
Ejecución 678;0.0003121
Ejecución 679;0.0009946
Ejecución 680;0.0009586
Ejecución 681;0.0009999
Ejecución 682;0.0010204
Ejecución 683;0.0011857
Ejecución 684;0.0005244
Ejecución 685;0.000778
Ejecución 686;0.0009979
Ejecución 687;0.0009985
Ejecución 688;0.0010355
Ejecución 689;0.0010123
Ejecución 690;0.0010002
Ejecución 691;0.0006702
Ejecución 692;0.0003122
Ejecución 693;0.000999
Ejecución 694;0.0014392
Ejecución 695;0.0010106
Ejecución 696;0.0009999
Ejecución 697;0.001079
Ejecución 698;0.0010001
Ejecución 699;0.0010021
Ejecución 700;0.0003252
