Algoritmo;Merge_Sort
Tamaño;5000
Orden;asc
Repeticiones;1000
Máquina;Lucas
Tiempo total;0.8371812s
Tiempo promedio;0.0008372s
Tiempos individuales (s):
Ejecución 911;0.0007665
Ejecución 912;0.0007605
Ejecución 913;0.0007677
Ejecución 914;0.0007615
Ejecución 915;0.0007700
Ejecución 916;0.0007600
Ejecución 917;0.0007673
Ejecución 918;0.0007914
Ejecución 919;0.0007672
Ejecución 920;0.0007700
Ejecución 921;0.0007642
Ejecución 922;0.0007646
Ejecución 923;0.0007741
Ejecución 924;0.0007882
Ejecución 925;0.0007751
Ejecución 926;0.0008238
Ejecución 927;0.0007783
Ejecución 928;0.0008163
Ejecución 929;0.0007655
Ejecución 930;0.0007638
Ejecución 931;0.0007663
Ejecución 932;0.0007544
Ejecución 933;0.0007685
Ejecución 934;0.0007615
Ejecución 935;0.0007692
Ejecución 936;0.0007622
Ejecución 937;0.0007769
Ejecución 938;0.0007886
Ejecución 939;0.0007658
Ejecución 940;0.0007907
Ejecución 941;0.0007645
Ejecución 942;0.0007632
Ejecución 943;0.0007822
Ejecución 944;0.0007639
Ejecución 945;0.0007689
Ejecución 946;0.0007620
Ejecución 947;0.0007817
Ejecución 948;0.0007799
Ejecución 949;0.0008016
Ejecución 950;0.0007618
Ejecución 951;0.0007653
Ejecución 952;0.0007650
Ejecución 953;0.0007647
Ejecución 954;0.0007625
Ejecución 955;0.0007628
Ejecución 956;0.0007733
Ejecución 957;0.0007639
Ejecución 958;0.0007625
Ejecución 959;0.0010538
Ejecución 960;0.0012827
