Algoritmo;Merge_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0619838s
Tiempo promedio;0.0010620s
Tiempos individuales (s):
Ejecución 822;0.0010208
Ejecución 823;0.0010284
Ejecución 824;0.0010583
Ejecución 825;0.0010477
Ejecución 826;0.0010618
Ejecución 827;0.0010437
Ejecución 828;0.0010487
Ejecución 829;0.0010456
Ejecución 830;0.0010796
Ejecución 831;0.0010656
Ejecución 832;0.0010274
Ejecución 833;0.0010068
Ejecución 834;0.0010322
Ejecución 835;0.0010196
Ejecución 836;0.0010381
Ejecución 837;0.0010337
Ejecución 838;0.0010688
Ejecución 839;0.0010293
Ejecución 840;0.0010304
Ejecución 841;0.0010313
Ejecución 842;0.0010174
Ejecución 843;0.0010660
Ejecución 844;0.0010652
Ejecución 845;0.0010511
Ejecución 846;0.0010400
Ejecución 847;0.0011033
Ejecución 848;0.0010633
Ejecución 849;0.0010665
Ejecución 850;0.0011116
Ejecución 851;0.0010588
Ejecución 852;0.0010626
Ejecución 853;0.0010833
Ejecución 854;0.0011145
Ejecución 855;0.0010622
Ejecución 856;0.0011204
Ejecución 857;0.0011501
Ejecución 858;0.0010949
Ejecución 859;0.0011012
Ejecución 860;0.0011002
Ejecución 861;0.0010935
Ejecución 862;0.0010835
Ejecución 863;0.0010593
Ejecución 864;0.0010477
Ejecución 865;0.0010431
Ejecución 866;0.0010505
Ejecución 867;0.0010732
Ejecución 868;0.0011392
Ejecución 869;0.0011393
Ejecución 870;0.0010936
Ejecución 871;0.0010811
Ejecución 872;0.0010843
Ejecución 873;0.0010945
Ejecución 874;0.0010909
Ejecución 875;0.0010847
Ejecución 876;0.0011372
Ejecución 877;0.0011148
Ejecución 878;0.0010929
Ejecución 879;0.0010781
Ejecución 880;0.0011597
Ejecución 881;0.0011283
Ejecución 882;0.0010676
Ejecución 883;0.0010864
Ejecución 884;0.0010717
Ejecución 885;0.0010853
Ejecución 886;0.0010794
Ejecución 887;0.0010702
Ejecución 888;0.0010668
Ejecución 889;0.0010622
Ejecución 890;0.0010862
Ejecución 891;0.0010783
Ejecución 892;0.0010930
Ejecución 893;0.0011013
Ejecución 894;0.0010938
Ejecución 895;0.0010965
Ejecución 896;0.0010873
Ejecución 897;0.0010686
Ejecución 898;0.0010726
Ejecución 899;0.0010677
Ejecución 900;0.0011297
Ejecución 901;0.0011071
Ejecución 902;0.0010709
Ejecución 903;0.0010996
Ejecución 904;0.0010927
Ejecución 905;0.0010890
Ejecución 906;0.0010695
Ejecución 907;0.0011050
Ejecución 908;0.0011015
Ejecución 909;0.0010989
Ejecución 910;0.0010943
Ejecución 911;0.0010897
Ejecución 912;0.0010917
Ejecución 913;0.0010978
Ejecución 914;0.0010899
Ejecución 915;0.0010743
Ejecución 916;0.0011129
Ejecución 917;0.0010893
Ejecución 918;0.0010737
Ejecución 919;0.0010788
Ejecución 920;0.0011062
Ejecución 921;0.0010978
Ejecución 922;0.0010922
Ejecución 923;0.0011031
Ejecución 924;0.0011073
Ejecución 925;0.0010983
Ejecución 926;0.0010997
Ejecución 927;0.0010744
Ejecución 928;0.0011629
Ejecución 929;0.0011061
Ejecución 930;0.0010862
Ejecución 931;0.0010836
Ejecución 932;0.0010860
Ejecución 933;0.0010926
Ejecución 934;0.0010917
Ejecución 935;0.0011024
Ejecución 936;0.0010934
Ejecución 937;0.0010969
Ejecución 938;0.0010958
Ejecución 939;0.0011075
Ejecución 940;0.0011086
Ejecución 941;0.0010928
Ejecución 942;0.0010962
Ejecución 943;0.0010912
Ejecución 944;0.0010916
Ejecución 945;0.0010933
Ejecución 946;0.0011490
Ejecución 947;0.0010916
Ejecución 948;0.0010730
Ejecución 949;0.0010830
Ejecución 950;0.0010950
Ejecución 951;0.0010888
Ejecución 952;0.0011729
Ejecución 953;0.0010731
Ejecución 954;0.0010882
Ejecución 955;0.0010792
Ejecución 956;0.0010910
Ejecución 957;0.0010918
Ejecución 958;0.0010886
Ejecución 959;0.0010967
