Algoritmo;Heap_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.6601440s
Tiempo promedio;0.0016601s
Tiempos individuales (s):
Ejecución 853;0.0009969
Ejecución 854;0.0014989
Ejecución 855;0.0020104
Ejecución 856;0.0015853
Ejecución 857;0.0021094
Ejecución 858;0.0009817
Ejecución 859;0.0009864
Ejecución 860;0.0025270
Ejecución 861;0.0009980
Ejecución 862;0.0009956
Ejecución 863;0.0019933
Ejecución 864;0.0020000
Ejecución 865;0.0013637
Ejecución 866;0.0009870
Ejecución 867;0.0009951
Ejecución 868;0.0020005
Ejecución 869;0.0019992
Ejecución 870;0.0014123
Ejecución 871;0.0020895
Ejecución 872;0.0020061
Ejecución 873;0.0019969
Ejecución 874;0.0020107
Ejecución 875;0.0020033
Ejecución 876;0.0015491
Ejecución 877;0.0020009
Ejecución 878;0.0020030
Ejecución 879;0.0019990
Ejecución 880;0.0010058
Ejecución 881;0.0015072
Ejecución 882;0.0019939
Ejecución 883;0.0019940
Ejecución 884;0.0010130
Ejecución 885;0.0009951
Ejecución 886;0.0014056
Ejecución 887;0.0010914
Ejecución 888;0.0009933
Ejecución 889;0.0015997
Ejecución 890;0.0011004
Ejecución 891;0.0009997
Ejecución 892;0.0024624
Ejecución 893;0.0016203
Ejecución 894;0.0020969
Ejecución 895;0.0009979
Ejecución 896;0.0009904
Ejecución 897;0.0014830
Ejecución 898;0.0010970
Ejecución 899;0.0009881
Ejecución 900;0.0009797
Ejecución 901;0.0020005
Ejecución 902;0.0020050
Ejecución 903;0.0010899
Ejecución 904;0.0020148
Ejecución 905;0.0019885
Ejecución 906;0.0020081
Ejecución 907;0.0019882
Ejecución 908;0.0015203
Ejecución 909;0.0019831
Ejecución 910;0.0020021
Ejecución 911;0.0020293
Ejecución 912;0.0009676
Ejecución 913;0.0014629
Ejecución 914;0.0016857
Ejecución 915;0.0021028
Ejecución 916;0.0020001
Ejecución 917;0.0019985
Ejecución 918;0.0009916
Ejecución 919;0.0015869
Ejecución 920;0.0020179
Ejecución 921;0.0009810
Ejecución 922;0.0009997
Ejecución 923;0.0009865
Ejecución 924;0.0014583
Ejecución 925;0.0009933
Ejecución 926;0.0010873
Ejecución 927;0.0009920
Ejecución 928;0.0020279
Ejecución 929;0.0013335
Ejecución 930;0.0009893
Ejecución 931;0.0010053
Ejecución 932;0.0019876
Ejecución 933;0.0020008
Ejecución 934;0.0020150
Ejecución 935;0.0010977
Ejecución 936;0.0019951
Ejecución 937;0.0019927
Ejecución 938;0.0019992
Ejecución 939;0.0015942
Ejecución 940;0.0014957
Ejecución 941;0.0020905
Ejecución 942;0.0019089
Ejecución 943;0.0019987
Ejecución 944;0.0019997
Ejecución 945;0.0010008
Ejecución 946;0.0013844
Ejecución 947;0.0015555
Ejecución 948;0.0021031
Ejecución 949;0.0009911
Ejecución 950;0.0009915
Ejecución 951;0.0019941
Ejecución 952;0.0010906
Ejecución 953;0.0020036
Ejecución 954;0.0019935
Ejecución 955;0.0010211
Ejecución 956;0.0019805
Ejecución 957;0.0013674
Ejecución 958;0.0020900
Ejecución 959;0.0019989
