Algoritmo;Quick_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Lucas
Tiempo total;1.0220329s
Tiempo promedio;0.0010220s
Tiempos individuales (s):
Ejecución 932;0.0010003
Ejecución 933;0.0010004
Ejecución 934;0.0009996
Ejecución 935;0.0013101
Ejecución 936;0.0010108
Ejecución 937;0.0009996
Ejecución 938;0.0010147
Ejecución 939;0.0009999
Ejecución 940;0.0010005
Ejecución 941;0.0009996
Ejecución 942;0.0010008
Ejecución 943;0.0009993
Ejecución 944;0.0010000
Ejecución 945;0.0013380
Ejecución 946;0.0010109
Ejecución 947;0.0009998
Ejecución 948;0.0009999
Ejecución 949;0.0009998
Ejecución 950;0.0010001
Ejecución 951;0.0010002
Ejecución 952;0.0010000
Ejecución 953;0.0010000
Ejecución 954;0.0010006
Ejecución 955;0.0010101
Ejecución 956;0.0010004
Ejecución 957;0.0010020
Ejecución 958;0.0010002
Ejecución 959;0.0010002
