Algoritmo;Bucket_Sort
Tamaño;5000
Orden;shuffled
Repeticiones;1000
Máquina;Vale
Tiempo total;1.70921s
Tiempo promedio;0.00170921s
Tiempos individuales (s):
Ejecución 934;0.0020025
Ejecución 935;0.001967
Ejecución 936;0.0019998
Ejecución 937;0.0019997
Ejecución 938;0.0020021
Ejecución 939;0.002
Ejecución 940;0.0019993
Ejecución 941;0.0020006
Ejecución 942;0.0020018
Ejecución 943;0.0020332
Ejecución 944;0.0020021
Ejecución 945;0.0020002
Ejecución 946;0.0019997
Ejecución 947;0.0019993
Ejecución 948;0.003001
Ejecución 949;0.0030023
Ejecución 950;0.0029995
Ejecución 951;0.002
Ejecución 952;0.0030007
Ejecución 953;0.0029999
Ejecución 954;0.0020011
Ejecución 955;0.0009966
Ejecución 956;0.0020026
Ejecución 957;0.0019996
Ejecución 958;0.0019988
Ejecución 959;0.0019996
Ejecución 960;0.002
Ejecución 961;0.0020016
Ejecución 962;0.0019979
Ejecución 963;0.0019998
Ejecución 964;0.0020003
Ejecución 965;0.0009977
Ejecución 966;0.0019994
Ejecución 967;0.0020005
Ejecución 968;0.0020001
